0,1,2,4,status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
CTCF,ENSG00000102974,ENSP00000264010,1,9.0,CTCF,CCCTC-binding factor,ENSG00000102974,16,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,10.45,24.0
FOXG1,ENSG00000176165,ENSP00000339004,1,9.0,FOXG1,Forkhead box G1,ENSG00000176165,14,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,5.7,55.0
PHIP,ENSG00000146247,ENSP00000275034,1,9.0,PHIP,pleckstrin homology domain interacting protein,ENSG00000146247,6,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,25.0
KCNQ3,ENSG00000184156,ENSP00000373648,1,9.0,KCNQ3,potassium voltage-gated channel subfamily Q member 3,ENSG00000184156,8,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,11.1,20.0
TSC1,ENSG00000165699,ENSP00000298552,1,9.0,TSC1,tuberous sclerosis 1,ENSG00000165699,9,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,17.1,35.0
CORO1A,ENSG00000102879,ENSP00000219150,1,9.0,CORO1A,coronin 1A,ENSG00000102879,16,Rare Single Gene Mutation,1.0,0.0,0.7,3.0
SMARCC2,ENSG00000139613,ENSP00000449396,1,9.0,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",ENSG00000139613,12,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,10.0,18.0
HIVEP2,ENSG00000010818,ENSP00000356575,1,9.0,HIVEP2,HIVEP zinc finger 2,ENSG00000010818,6,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,13.0
PHF2,ENSG00000197724,ENSP00000352185,1,9.0,PHF2,PHD finger protein 2,ENSG00000197724,9,Rare Single Gene Mutation,1.0,0.0,4.25,8.0
PRR12,ENSG00000126464,ENSP00000394510,1,9.0,PRR12,proline rich 12,ENSG00000126464,19,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,7.0
GRIN2B,ENSG00000273079,ENSP00000477455,1,9.0,GRIN2B,"glutamate receptor, inotropic, N-methyl D-apartate 2B",ENSG00000273079,12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,29.65,84.0
RUNX1T1,ENSG00000079102,ENSP00000428543,1,9.0,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,ENSG00000079102,8,Rare Single Gene Mutation,1.0,0.0,,3.0
AHDC1,ENSG00000126705,ENSP00000501218,1,9.0,AHDC1,AT-hook DNA binding motif containing 1,ENSG00000126705,1,"Rare Single Gene Mutation, Syndromic",1.0,1.0,14.25,27.0
TBCEL,ENSG00000154114,ENSP00000507873,1,9.0,TBCEL,tubulin folding cofactor E like,ENSG00000154114,11,Rare Single Gene Mutation,1.0,0.0,,3.0
RAI1,ENSG00000108557,ENSP00000323074,1,9.0,RAI1,retinoic acid induced 1,ENSG00000108557,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,12.25,34.0
AUTS2,ENSG00000158321,ENSP00000344087,1,9.0,AUTS2,activator of transcription and developmental regulatorAUTS2,ENSG00000158321,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,35.5,62.0
KMT2E,ENSG00000005483,ENSP00000312379,1,9.0,KMT2E,Lysine (K)-specific methyltransferase 2E,ENSG00000005483,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,18.0
PHF21A,ENSG00000135365,ENSP00000502222,1,9.0,PHF21A,PHD finger protein 21A,ENSG00000135365,11,"Rare Single Gene Mutation, Syndromic",1.0,1.0,5.35,15.0
ANK2,ENSG00000145362,ENSP00000349588,1,9.0,ANK2,"Ankyrin 2, neuronal",ENSG00000145362,4,"Rare Single Gene Mutation, Functional",1.0,0.0,10.8,32.0
HECTD4,ENSG00000173064,ENSP00000507687,1,9.0,HECTD4,HECT domain E3 ubiquitin protein ligase 4,ENSG00000173064,12,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,10.0
WDFY3,ENSG00000163625,ENSP00000295888,1,9.0,WDFY3,WD repeat and FYVE domain containing 3,ENSG00000163625,4,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,17.2,24.0
FOXP2,ENSG00000128573,ENSP00000265436,1,9.0,FOXP2,forkhead box P2,ENSG00000128573,7,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,,56.0
TRIO,ENSG00000038382,ENSP00000339299,1,9.0,TRIO,Trio Rho guanine nucleotide exchange factor,ENSG00000038382,5,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,44.0
TANC2,ENSG00000170921,ENSP00000510600,1,9.0,TANC2,"etratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",ENSG00000170921,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,24.95,16.0
TRAF7,ENSG00000131653,ENSP00000318944,1,9.0,TRAF7,TNF receptor associated factor 7,ENSG00000131653,16,"Rare Single Gene Mutation, Syndromic",1.0,1.0,3.5,10.0
FOXP1,ENSG00000114861,ENSP00000497369,1,9.0,FOXP1,forkhead box P1,ENSG00000114861,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,60.45,71.0
CAMTA2,ENSG00000108509,ENSP00000321813,1,9.0,CAMTA2,calmodulin binding transcription activator 2,ENSG00000108509,17,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,3.0
GRIA2,ENSG00000120251,ENSP00000264426,1,9.0,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,ENSG00000120251,4,Rare Single Gene Mutation,1.0,0.0,12.0,12.0
BRAF,ENSG00000157764,ENSP00000493543,1,9.0,BRAF,v-raf murine sarcoma viral oncogene homolog B,ENSG00000157764,7,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,17.0
PTPN11,ENSG00000179295,ENSP00000340944,1,9.0,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",ENSG00000179295,12,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,26.0
KDM2B,ENSG00000089094,ENSP00000366271,1,9.0,KDM2B,lysine demethylase 2B,ENSG00000089094,12,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,10.0
PPP5C,ENSG00000011485,ENSP00000012443,1,9.0,PPP5C,protein phosphatase 5 catalytic subunit,ENSG00000011485,19,Rare Single Gene Mutation,1.0,0.0,1.0,3.0
NAA15,ENSG00000164134,ENSP00000296543,1,9.0,NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",ENSG00000164134,4,"Rare Single Gene Mutation, Syndromic",1.0,1.0,31.7,22.0
MEF2C,ENSG00000081189,ENSP00000421925,1,9.0,MEF2C,myocyte enhancer factor 2C,ENSG00000081189,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,9.85,49.0
SRCAP,ENSG00000080603,ENSP00000262518,1,9.0,SRCAP,Snf2 related CREBBP activator protein,ENSG00000080603,16,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,14.0
DEAF1,ENSG00000177030,ENSP00000371846,1,9.0,DEAF1,DEAF1 transcription factor,ENSG00000177030,11,"Rare Single Gene Mutation, Syndromic",1.0,1.0,30.9,30.0
SHANK2,ENSG00000162105,ENSP00000469689,1,9.0,SHANK2,SH3 and multiple ankyrin repeat domains 2,ENSG00000162105,11,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,18.55,52.0
SETD2,ENSG00000181555,ENSP00000386759,1,9.0,SETD2,SET domain containing 2,ENSG00000181555,3,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,25.0
DHCR7,ENSG00000172893,ENSP00000347717,1,9.0,DHCR7,7-dehydrocholesterol reductase,ENSG00000172893,11,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,19.0
SETD5,ENSG00000168137,ENSP00000385852,1,9.0,SETD5,SET domain containing 5,ENSG00000168137,3,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,28.05,37.0
KDM3B,ENSG00000120733,ENSP00000326563,1,9.0,KDM3B,lysine demethylase 3B,ENSG00000120733,5,"Rare Single Gene Mutation, Syndromic",1.0,1.0,1.5,4.0
SETD1A,ENSG00000099381,ENSP00000262519,1,9.0,SETD1A,"SET domain containing 1A, histone lysine methyltransferase",ENSG00000099381,16,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,4.35,11.0
ARID1B,ENSG00000049618,ENSP00000490491,1,9.0,ARID1B,AT-rich interaction domain 1B,ENSG00000049618,6,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,34.75,83.0
SCN2A,ENSG00000136531,ENSP00000364586,1,9.0,SCN2A,"sodium channel, voltage-gated, type II, alpha subunit",ENSG00000136531,2,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,109.3,114.0
NACC1,ENSG00000160877,ENSP00000292431,1,9.0,NACC1,nucleus accumbens associated 1,ENSG00000160877,19,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,10.0
NSD1,ENSG00000165671,ENSP00000395929,1,9.0,NSD1,nuclear receptor binding SET domain protein 1,ENSG00000165671,5,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,22.9,33.0
NCOA1,ENSG00000084676,ENSP00000320940,1,9.0,NCOA1,nuclear receptor coactivator 1,ENSG00000084676,2,Rare Single Gene Mutation,1.0,0.0,3.0,4.0
TSC2,ENSG00000103197,ENSP00000219476,1,9.0,TSC2,tuberous sclerosis 2,ENSG00000103197,16,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,51.0
CNOT3,ENSG00000088038,ENSP00000221232,1,9.0,CNOT3,CCR4-NOT transcription complex subunit 3,ENSG00000088038,19,"Rare Single Gene Mutation, Syndromic",1.0,1.0,5.6,19.0
BAZ2B,ENSG00000123636,ENSP00000376534,1,9.0,BAZ2B,bromodomain adjacent to zinc finger domain 2B,ENSG00000123636,2,Rare Single Gene Mutation,1.0,0.0,7.35,8.0
NRXN1,ENSG00000179915,ENSP00000385017,1,9.0,NRXN1,neurexin 1,ENSG00000179915,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,143.75,112.0
CTNNB1,ENSG00000168036,ENSP00000344456,1,9.0,CTNNB1,catenin beta 1,ENSG00000168036,3,"Rare Single Gene Mutation, Syndromic",1.0,0.0,32.75,37.0
CUL3,ENSG00000036257,ENSP00000264414,1,9.0,CUL3,Cullin 3,ENSG00000036257,2,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,18.4,34.0
SLC6A1,ENSG00000157103,ENSP00000287766,1,9.0,SLC6A1,"Solute carrier family 6 (neurotransmitter transporter), member 1",ENSG00000157103,3,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,1.0,31.15,55.0
MYT1L,ENSG00000186487,ENSP00000497479,1,9.0,MYT1L,Myelin transcription factor 1-like,ENSG00000186487,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,20.35,38.0
SCN8A,ENSG00000196876,ENSP00000487583,1,9.0,SCN8A,"sodium channel, voltage gated, type VIII, alpha subunit",ENSG00000196876,12,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,59.0
CHD3,ENSG00000170004,ENSP00000332628,1,9.0,CHD3,chromodomain helicase DNA binding protein 3,ENSG00000170004,17,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,16.0
SOX5,ENSG00000134532,ENSP00000398273,1,9.0,SOX5,SRY-box 5,ENSG00000134532,12,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,1.0,17.6,22.0
AP2S1,ENSG00000042753,ENSP00000263270,1,9.0,AP2S1,adaptor related protein complex 2 subunit sigma 1,ENSG00000042753,19,Rare Single Gene Mutation,1.0,0.0,0.2,3.0
DNMT3A,ENSG00000119772,ENSP00000324375,1,9.0,DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,ENSG00000119772,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,15.9,31.0
KMT5B,ENSG00000110066,ENSP00000305899,1,9.0,KMT5B,lysine methyltransferase 5B,ENSG00000110066,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,26.0
SATB1,ENSG00000182568,ENSP00000341024,1,9.0,SATB1,SATB homeobox 1,ENSG00000182568,3,"Rare Single Gene Mutation, Syndromic",1.0,1.0,2.5,4.0
CAPRIN1,ENSG00000135387,ENSP00000340329,1,9.0,CAPRIN1,Cell cycle associated protein 1,ENSG00000135387,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,5.5,6.0
NRXN2,ENSG00000110076,ENSP00000265459,1,9.0,NRXN2,neurexin 2,ENSG00000110076,11,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,7.0,17.0
TAOK1,ENSG00000160551,ENSP00000261716,1,9.0,TAOK1,TAO kinase 1,ENSG00000160551,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,11.0
PCCB,ENSG00000114054,ENSP00000251654,1,9.0,PCCB,propionyl-CoA carboxylase beta subunit,ENSG00000114054,3,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,11.0
CACNA1C,ENSG00000151067,ENSP00000382563,1,9.0,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",ENSG00000151067,12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,62.0
SMARCA4,ENSG00000127616,ENSP00000343896,1,9.0,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",ENSG00000127616,19,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,22.0
PSMD12,ENSG00000197170,ENSP00000348442,1,9.0,PSMD12,"proteasome 26S subunit, non-ATPase 12",ENSG00000197170,17,"Rare Single Gene Mutation, Syndromic",1.0,1.0,6.0,5.0
POMGNT1,ENSG00000085998,ENSP00000361052,1,9.0,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",ENSG00000085998,1,"Rare Single Gene Mutation, Syndromic",1.0,1.0,1.0,10.0
ZBTB20,ENSG00000181722,ENSP00000501561,1,9.0,ZBTB20,Zinc finger and BTB domain containing 20,ENSG00000181722,3,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,29.0
TBL1XR1,ENSG00000177565,ENSP00000413251,1,9.0,TBL1XR1,transducin beta like 1 X-linked receptor 1,ENSG00000177565,3,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,9.15,34.0
CSDE1,ENSG00000009307,ENSP00000351329,1,9.0,CSDE1,cold shock domain containing E1,ENSG00000009307,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,15.55,7.0
NF1,ENSG00000196712,ENSP00000351015,1,9.0,NF1,"neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)",ENSG00000196712,17,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,9.3,39.0
KMT2A,ENSG00000118058,ENSP00000436786,1,9.0,KMT2A,Lysine (K)-specific methyltransferase 2A,ENSG00000118058,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,48.0
PSMD11,ENSG00000108671,ENSP00000261712,1,9.0,PSMD11,"proteasome 26S subunit, non-ATPase 11",ENSG00000108671,17,Rare Single Gene Mutation,1.0,0.0,,2.0
SCN1A,ENSG00000144285,ENSP00000501589,1,9.0,SCN1A,"sodium channel, voltage-gated, type I, alpha subunit",ENSG00000144285,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,94.0
MED13,ENSG00000108510,ENSP00000380888,1,9.0,MED13,mediator complex subunit 13,ENSG00000108510,17,"Rare Single Gene Mutation, Syndromic",1.0,1.0,9.3,12.0
HRAS,ENSG00000174775,ENSP00000309845,1,9.0,HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,ENSG00000174775,11,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,0.0,,12.0
CACNA2D3,ENSG00000157445,ENSP00000419101,1,9.0,CACNA2D3,"Calcium channel, voltage-dependent, alpha 2/delta subunit 3",ENSG00000157445,3,"Rare Single Gene Mutation, Functional",1.0,0.0,3.75,13.0
NR4A2,ENSG00000153234,ENSP00000344479,1,9.0,NR4A2,nuclear receptor subfamily 4 group A member 2,ENSG00000153234,2,"Rare Single Gene Mutation, Syndromic",1.0,0.0,7.75,10.0
NCKAP1,ENSG00000061676,ENSP00000355348,1,9.0,NCKAP1,NCK-associated protein 1,ENSG00000061676,2,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,15.0
SPAST,ENSG00000021574,ENSP00000320885,1,9.0,SPAST,Spastin,ENSG00000021574,2,"Rare Single Gene Mutation, Syndromic",1.0,0.0,8.1,17.0
TRIP12,ENSG00000153827,ENSP00000502713,1,9.0,TRIP12,Thyroid hormone receptor interactor 12,ENSG00000153827,2,"Rare Single Gene Mutation, Syndromic",1.0,1.0,27.0,37.0
MTOR,ENSG00000198793,ENSP00000354558,1,9.0,MTOR,mechanistic target of rapamycin kinase,ENSG00000198793,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,33.0
HNRNPU,ENSG00000153187,ENSP00000491215,1,9.0,HNRNPU,heterogeneous nuclear ribonucleoprotein U,ENSG00000153187,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,38.8,39.0
SKI,ENSG00000157933,ENSP00000367797,1,9.0,SKI,SKIproto-oncogene,ENSG00000157933,1,Rare Single Gene Mutation,1.0,0.0,4.25,6.0
KDM5B,ENSG00000117139,ENSP00000356234,1,9.0,KDM5B,Lysine (K)-specific demethylase 5B,ENSG00000117139,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,2.8,24.0
HDLBP,ENSG00000115677,ENSP00000312042,1,9.0,HDLBP,high density lipoprotein binding protein,ENSG00000115677,2,Rare Single Gene Mutation,1.0,0.0,1.25,6.0
CACNA1E,ENSG00000198216,ENSP00000356545,1,9.0,CACNA1E,calcium voltage-gated channel subunit alpha1 E,ENSG00000198216,1,Rare Single Gene Mutation,1.0,0.0,,22.0
UBAP2L,ENSG00000143569,ENSP00000389445,1,9.0,UBAP2L,ubiquitin associated protein 2 like,ENSG00000143569,1,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,5.0
POGZ,ENSG00000143442,ENSP00000271715,1,9.0,POGZ,Pogo transposable element with ZNF domain,ENSG00000143442,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,35.4,61.0
